round_epochs,val_loss,val_acc,loss,acc,batch_size,dropout,epochs,first_layer,last_activation,losses,lr,optimizer
10,0.6324210191185331,0.6256358027458191,0.6605236628907886,0.60192055,10,0.35,10,100,sigmoid,binary_crossentropy,2.08,<class 'keras.optimizers.Nadam'>
10,0.6301073039657344,0.621566653251648,0.6541287543887084,0.5979921,10,0.35,10,100,sigmoid,binary_crossentropy,4.06,<class 'keras.optimizers.Adam'>
10,0.6426084895948913,0.6185147762298584,0.6709662217700497,0.57878655,10,0.35,10,100,sigmoid,binary_crossentropy,4.06,<class 'keras.optimizers.Nadam'>
10,0.6302143024282563,0.6266530752182007,0.661997640382666,0.58795285,10,0.35,10,100,sigmoid,binary_crossentropy,6.039999999999999,<class 'keras.optimizers.Adam'>
10,0.6698579042392006,0.61953204870224,0.6718359252398111,0.5770406,10,0.35,10,100,sigmoid,binary_crossentropy,6.039999999999999,<class 'keras.optimizers.Nadam'>
10,0.632384182235353,0.6236011981964111,0.6630333267617361,0.57835007,10,0.35,10,100,sigmoid,binary_crossentropy,8.02,<class 'keras.optimizers.Adam'>
10,0.6692187803080221,0.6317395567893982,0.6701686840450748,0.58096904,10,0.35,10,100,sigmoid,binary_crossentropy,8.02,<class 'keras.optimizers.Nadam'>
10,0.6293493480187587,0.6347914338111877,0.658181804957113,0.5892623,10,0.35,10,150,sigmoid,binary_crossentropy,0.1,<class 'keras.optimizers.Adam'>
10,0.6311040990592747,0.6266530752182007,0.6586918838936812,0.59711915,10,0.35,10,150,sigmoid,binary_crossentropy,0.1,<class 'keras.optimizers.Nadam'>
10,0.6300409225214534,0.6286876797676086,0.6593378437809005,0.5857704,10,0.35,10,150,sigmoid,binary_crossentropy,2.08,<class 'keras.optimizers.Adam'>
10,0.6387055533220907,0.627670407295227,0.6648903677735147,0.582715,10,0.35,10,150,sigmoid,binary_crossentropy,2.08,<class 'keras.optimizers.Nadam'>
10,0.6237012142446252,0.61953204870224,0.659711932365887,0.6001746,10,0.35,10,150,sigmoid,binary_crossentropy,4.06,<class 'keras.optimizers.Adam'>
10,0.6348852974837333,0.6246185302734375,0.6629386721922809,0.5844609,10,0.35,10,150,sigmoid,binary_crossentropy,4.06,<class 'keras.optimizers.Nadam'>
10,0.6341313066099328,0.6225839257240295,0.6672015699014452,0.57878655,10,0.35,10,150,sigmoid,binary_crossentropy,6.039999999999999,<class 'keras.optimizers.Adam'>
10,0.7440949682665502,0.43743643164634705,0.6791753688528777,0.582715,10,0.35,10,150,sigmoid,binary_crossentropy,6.039999999999999,<class 'keras.optimizers.Nadam'>
10,0.6265957123265504,0.6256358027458191,0.6594968200354324,0.5862069,10,0.35,10,150,sigmoid,binary_crossentropy,8.02,<class 'keras.optimizers.Adam'>
10,0.6967371121306628,0.5025432109832764,0.680870212695839,0.57005674,10,0.35,10,150,sigmoid,binary_crossentropy,8.02,<class 'keras.optimizers.Nadam'>
10,0.6294635092254087,0.6337741613388062,0.6630414363496016,0.5918813,10,0.35,10,200,sigmoid,binary_crossentropy,0.1,<class 'keras.optimizers.Adam'>
10,0.6318660560362458,0.627670407295227,0.6594767519762713,0.5931907,10,0.35,10,200,sigmoid,binary_crossentropy,0.1,<class 'keras.optimizers.Nadam'>
10,0.6234971658380689,0.6246185302734375,0.6561502523164154,0.5949367,10,0.35,10,200,sigmoid,binary_crossentropy,2.08,<class 'keras.optimizers.Adam'>
10,0.6370087711638861,0.6266530752182007,0.6621011453963221,0.58096904,10,0.35,10,200,sigmoid,binary_crossentropy,2.08,<class 'keras.optimizers.Nadam'>
